timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 00:00:00,3,500.68,0.12,33.59,29.33,23.6,39.5,44.44,1.39
2025-01-01 01:00:00,3,500.68,0.03,28.79,33.62,15.26,41.06,45.16,1.09
2025-01-01 02:00:00,3,480.65,0.01,24.33,38.62,12.4,39.29,42.66,0.99
2025-01-01 03:00:00,3,453.95,0.01,19.88,43.99,11.09,36.49,39.35,1.01
2025-01-01 04:00:00,3,427.25,0.0,17.31,47.21,10.01,34.93,37.47,1.01
2025-01-01 05:00:00,3,413.89,0.0,15.59,50.78,9.18,33.32,35.56,1.0
2025-01-01 06:00:00,3,403.88,0.0,14.39,53.64,8.58,31.05,33.07,1.01
2025-01-01 07:00:00,3,393.87,0.0,14.05,56.51,8.82,28.55,30.43,1.09
2025-01-01 08:00:00,3,397.21,0.0,16.28,57.22,12.99,27.45,29.54,1.42
2025-01-01 09:00:00,3,400.54,0.0,18.34,57.94,15.74,26.39,28.67,1.73
2025-01-01 10:00:00,3,397.21,0.05,18.68,59.37,16.45,25.47,27.81,1.88
2025-01-01 11:00:00,2,390.53,0.37,18.34,62.23,16.45,24.08,26.42,1.98
2025-01-01 12:00:00,2,370.5,0.64,16.45,65.8,14.54,21.49,23.59,1.96
2025-01-01 13:00:00,2,353.81,0.63,15.25,68.66,13.35,18.87,20.78,1.95
2025-01-01 14:00:00,2,340.46,0.47,14.57,70.1,12.52,16.65,18.42,1.93
2025-01-01 15:00:00,2,333.79,0.31,14.57,70.81,12.28,14.79,16.51,1.93
2025-01-01 16:00:00,2,330.45,0.09,14.74,69.38,12.04,13.84,15.57,1.98
2025-01-01 17:00:00,2,327.11,0.01,15.08,67.95,12.04,13.59,15.36,2.06
2025-01-01 18:00:00,2,330.45,0.0,16.11,67.23,12.4,13.51,15.36,2.09
2025-01-01 19:00:00,2,337.12,0.0,17.14,66.52,13.11,14.09,16.02,2.09
2025-01-01 20:00:00,2,350.48,0.0,17.65,66.52,14.9,16.01,18.09,2.18
2025-01-01 21:00:00,2,353.81,0.0,17.14,67.95,15.74,16.39,18.53,2.28
2025-01-01 22:00:00,2,343.8,0.0,15.25,70.81,14.78,14.73,16.75,2.22
2025-01-01 23:00:00,2,333.79,0.0,13.88,73.67,13.95,13.27,15.17,2.15
2025-01-02 00:00:00,2,317.1,0.0,11.82,75.82,11.44,11.17,12.87,2.03
2025-01-02 01:00:00,2,297.07,0.0,9.34,77.96,8.11,8.96,10.36,1.92
2025-01-02 02:00:00,2,287.06,0.0,8.4,78.68,7.21,7.73,8.97,1.93
2025-01-02 03:00:00,2,280.38,0.0,7.71,78.68,6.56,6.5,7.63,1.99
2025-01-02 04:00:00,2,273.7,0.0,7.28,78.68,6.14,5.46,6.5,2.01
2025-01-02 05:00:00,2,270.37,0.0,6.85,79.39,5.78,4.37,5.33,2.03
2025-01-02 06:00:00,2,270.37,0.0,6.6,80.82,5.6,3.58,4.45,1.95
2025-01-02 07:00:00,2,270.37,0.0,6.68,80.82,5.9,2.64,3.38,1.88
2025-01-02 08:00:00,2,283.72,0.0,8.74,79.39,9.3,2.96,3.85,1.93
2025-01-02 09:00:00,2,293.73,0.0,10.54,76.53,11.09,3.45,4.43,1.93
2025-01-02 10:00:00,2,297.07,0.01,10.88,75.1,11.21,3.47,4.43,1.77
2025-01-02 11:00:00,2,297.07,0.04,10.54,74.39,10.61,3.39,4.26,1.44
2025-01-02 12:00:00,2,290.39,0.07,9.6,75.1,9.06,2.94,3.6,0.97
2025-01-02 13:00:00,2,283.72,0.08,9.08,75.82,7.75,2.62,3.17,0.58
2025-01-02 14:00:00,2,280.38,0.08,8.83,71.53,6.79,2.26,2.76,0.35
2025-01-02 15:00:00,2,280.38,0.06,9.6,64.37,6.85,2.12,2.71,0.37
2025-01-02 16:00:00,2,280.38,0.03,10.71,60.08,7.87,2.17,2.88,0.55
2025-01-02 17:00:00,2,280.38,0.01,11.48,60.8,9.18,2.41,3.24,0.83
2025-01-02 18:00:00,2,283.72,0.0,12.34,62.23,10.85,2.81,3.88,1.2
2025-01-02 19:00:00,2,290.39,0.0,13.19,64.37,12.64,3.41,4.8,1.54
2025-01-02 20:00:00,2,303.75,0.0,14.22,64.37,15.74,4.61,6.5,1.87
2025-01-02 21:00:00,2,333.79,0.01,17.65,60.8,21.46,7.21,9.93,2.28
2025-01-02 22:00:00,2,363.83,0.02,20.91,55.79,26.46,9.9,13.48,2.47
2025-01-02 23:00:00,2,387.19,0.03,23.65,50.78,35.76,12.58,16.76,3.29
2025-01-03 00:00:00,2,383.85,0.03,23.31,49.35,33.86,12.27,16.56,3.64
2025-01-03 01:00:00,2,340.46,0.01,17.82,52.93,22.65,8.51,12.21,3.64
2025-01-03 02:00:00,1,320.43,0.01,15.59,53.64,18.6,7.37,10.54,3.86
2025-01-03 03:00:00,1,313.76,0.01,14.22,52.21,16.69,7.33,10.35,3.96
2025-01-03 04:00:00,1,310.42,0.01,14.05,47.92,15.5,8.01,11.22,3.83
2025-01-03 05:00:00,1,323.77,0.02,15.77,43.27,15.5,9.93,13.23,3.48
2025-01-03 06:00:00,2,320.43,0.02,15.08,43.99,14.19,10.28,12.9,2.79
2025-01-03 07:00:00,1,310.42,0.01,13.37,47.21,12.99,9.16,11.06,2.37
2025-01-03 08:00:00,1,313.76,0.02,14.39,47.92,13.83,9.38,11.17,1.63
2025-01-03 09:00:00,1,307.08,0.01,13.88,53.64,12.52,7.82,9.37,0.8
2025-01-03 10:00:00,1,307.08,0.03,14.05,57.22,12.87,6.64,8.03,0.59
